Model,Fuel Barrels/Year
911 Targa 4S,15.361288555194808
911 Turbo,19.741088147539717
911 Turbo Cabriolet,17.379102589807857
911 Turbo Coupe,17.347894736842107
911 Turbo S,16.49702180451128
911 Turbo S Cabriolet,16.864041890440387
911 Turbo S Coupe,17.347894736842107
918 Spyder,10.40295132375
924 S,16.521804511278198
928 GTS,23.6643076923077
928 S,19.994724264705884
928 S4,22.170196428571426
929,17.829780701754387
940,17.034668859649123
940 GLE 16-Valve,18.311666666666667
940 GLE 16-Valve Wagon,18.311666666666667
940 SE,18.311666666666667
940 SE Wagon,18.311666666666667
940 Turbo,18.311666666666667
940 Turbo Wagon,18.311666666666667
940 Wagon,17.113835839599
944,17.035463177173703
944 S,17.347894736842107
944 S2,18.311666666666667
944 Turbo,16.4805
960,17.926157894736843
960 Wagon,17.99040935672515
960 Wagon/V90,17.347894736842107
960/S90,17.347894736842107
968,18.446311274509803
98 Esrit V8,20.600625
A.C.MARK IV,20.600625
A.C.Mkiv,19.388823529411766
A3,12.960291162262006
A3 Cabriolet,11.771785714285713
A3 Cabriolet quattro,12.677307692307696
A3 e-tron,5.863279935135134
A3 e-tron ultra,5.115502679169414
A3 quattro,14.00624503968254
A4,14.7225985348806
A4 Avant,16.914197368421053
A4 Avant quattro,16.18458373498884
A4 Cabriolet,14.506252111801242
A4 Cabriolet quattro,16.304930128901525
A4 Ultra,10.632580645161289
A4 allroad quattro,13.1844
A4 quattro,15.611724405422185
A5 Cabriolet,12.786238632478634
A5 Cabriolet quattro,13.80009661835749
A5 quattro,13.92388575446293
A6,15.286070400804386
A6 Avant quattro,17.111541144527987
A6 Wagon,17.347894736842107
A6 Wagon quattro,17.347894736842107
A6 quattro,16.74515674378322
A6 quattro Wagon,17.669152046783626
A7 quattro,14.292666865701351
A8,17.19394155844156
A8 L,17.783292534152153
A8 quattro,18.311666666666667
AD100/AD150 Ramcharger 2WD,27.633237962037967
AMG C63,16.4805
AMG C63 Coupe,17.347894736842107
AMG C63 S,16.4805
AMG C63 S Coupe,17.347894736842107
AMG CLA45 4matic,12.677307692307696
AMG CLS63 S 4matic,18.311666666666667
AMG E63 4matic,17.347894736842107
AMG E63 S 4matic,18.311666666666667
AMG E63 S 4matic (wagon),18.311666666666667
AMG G63,25.35461538461539
AMG G65,27.4675
AMG GL63,23.543571428571425
AMG GLA45 4matic,13.1844
AMG GLE43 4matic Coupe,16.4805
AMG GLE63,21.974
AMG GLE63 S,21.974
AMG GLE63 S Coupe,21.974
AMG GLS63,23.543571428571425
AMG GT,18.311666666666667
AMG GT S,18.311666666666667
AMG S 63 4matic,18.311666666666667
AMG S 63 4matic Coupe,18.311666666666667
AMG S63 4matic,18.311666666666667
AMG S63 4matic Convertible,19.388823529411766
AMG S63 4matic Coupe,18.311666666666667
AMG S65,21.2873125
AMG S65 Coupe,21.974
AMG SL63,17.347894736842107
AMG SL65,19.994724264705884
AMG SLC43,14.330869565217393
AMG SLK55,14.98227272727273
ATS,13.809882247462683
ATS AWD,14.682881066167035
ATS-V,17.131046052631582
AW100/AW150 Ramcharger 4WD,30.802096117424245
Acadia AWD,17.51552778712553
Acadia FWD,17.039108595764777
Acadia Limited AWD,19.388823529411766
Acadia Limited FWD,18.311666666666667
Accent,11.347786949153324
Accent (SOHC),11.989781746031746
Accent (Sporty),12.696088888888887
Accent Blue,10.809790322580644
Accent/Brio,12.41583441003441
Acclaim,15.385022393656216
Accord,13.825395179564572
Accord Coupe,14.267790832645616
Accord Crosstour 2WD,15.695714285714288
Accord Crosstour 4WD,16.088107142857144
Accord Hybrid,9.676132656478666
Accord Plug-in Hybrid,4.827656776595744
Accord Wagon,15.127132382834557
Achieva,14.952396544199141
ActiveHybrid 3,11.771785714285713
ActiveHybrid 5,12.677307692307696
ActiveHybrid 7,16.4805
ActiveHybrid 7L,14.008424999999999
ActiveHybrid 7Li,16.4805
ActiveHybrid 7i,16.4805
ActiveHybrid X6,18.311666666666667
Aerio,13.508375641025642
Aerio 4WD,14.330869565217393
Aerio AWD,14.330869565217393
Aerio SX,13.514010000000003
Aerio SX 4WD,14.330869565217393
Aerio SX AWD,14.330869565217393
Aerostar Van,18.078961808243037
Aerostar Van AWD,20.358264705882355
Aerostar Wagon,19.19642110080947
Aerostar Wagon AWD,21.458984375
Alero,14.425324037414704
Allante,20.45059243697479
Alliance,11.867824737444066
Alliance Convertible,13.924113758825715
Alliance/Encore,12.07836985264241
Allroad,20.600625
Allroad quattro,19.691773897058823
Alpina B6 Gran Coupe xDrive,17.829780701754387
Alpina B6 xDrive Gran Coupe,18.311666666666667
Alpina B7 LWB,18.16426625386997
Alpina B7 LWB xDrive,18.648986842105266
Alpina B7 SWB,18.16426625386997
Alpina B7 SWB xDrive,18.648986842105266
Alpina B7 xDrive,18.311666666666667
Altima,14.06243505978451
Altima / Stanza,14.774444099378883
Altima Coupe,13.817746125510103
Altima Hybrid,9.753165775401069
Altima SR,10.987
Amanti,17.829780701754387
Amigo 2WD,18.98221256163284
Amigo 4WD,19.727342968563946
Aries,14.638015488863202
Aries Wagon,14.650784377010442
Armada 2WD,22.645198308270675
Armada 2WD FFV,21.974
Armada 4WD,23.460962406015035
Armada 4WD FFV,23.543571428571425
Armored DTS,23.543571428571425
Armored Deville,21.974
Arnage,28.956123251748256
Arnage LWB,29.96454545454546
Arnage RL,29.96454545454546
Ascender 2WD,21.2873125
Ascender 4WD,22.415441964285712
Ascender 5-passenger 2WD,20.600625
Ascender 5-passenger 4WD,20.600625
Ascender 7-passenger 2WD,21.63065625
Ascender 7-passenger 4WD,21.149975
Aspen 2WD,22.00202806122449
Aspen 4WD,22.198224489795916
Aspen HEV,15.695714285714288
Aspire,11.010951764738529
Astra 2DR Hatchback,12.207777777777777
Astra 4DR Hatchback,12.207777777777777
Astro 2WD (cargo),18.315785337541715
Astro 2WD (cargo) Conversion,21.516208333333335
Astro 2WD (passenger),19.372130498208154
Astro AWD (cargo),20.86199394463668
Astro AWD (cargo) Conversion,23.543571428571425
Astro AWD (passenger),22.01078683035714
Aura,14.9282462981463
Aura FFV,12.677307692307696
Aura Hybrid,11.92713920817369
Aurora,18.400828454826907
Avalanche 1500 2WD,21.55548811366652
Avalanche 1500 2WD FFV,21.466197478991596
Avalanche 1500 4WD,22.491567954104717
Avalanche 1500 AWD,24.147252747252747
Avalon,14.550692283079242
Avalon Hybrid,8.24025
Avenger,14.947963233562778
Avenger AWD,18.311666666666667
Avenger FFV,14.98227272727273
Aventador Coupe,25.35461538461539
Aventador Roadster,27.044923076923077
Aventador Veneno Coupe,25.35461538461539
Aveo,11.986907073085645
Aveo 5,12.056665803244375
Aviator 2WD,24.147252747252747
Aviator 4WD,24.750934065934064
Avtech SC / M12,36.623333333333335
Axiom 2WD,19.83763888888889
Axiom 4WD,20.19669117647059
Axxess,16.377238721804513
Axxess AWD,17.99040935672515
Azera,15.299250158808583
Azera Limited,14.98227272727273
Aztek AWD,18.118912280701757
Aztek FWD,16.653978947368422
Azure,28.375516528925626
B150/B250 Van 2WD,24.954994959593915
B150/B250 Wagon 2WD,25.750227171866598
B1500 Van 2WD,23.972855921855924
B1500 Wagon 2WD,23.543571428571425
B1500/B2500 Van 2WD,24.891793040293038
B1500/B2500 Wagon 2WD,25.272295204795206
B2000,15.695714285714288
B2000/B2200 Pickup 2WD,15.728591641640842
B2000/B2200/B2600,16.821233293317327
B2200/B2600,16.938291666666665
B2200/B2600i,16.516894184762606
B2300 2WD,15.060854696028612
B2300/B3000/B4000 Pickup 2WD,17.49449139280912
